,SECUCODE,SECURITY_CODE,TYPE,SECURITY_NAME_ABBR,CLOSE_PRICE,INDUSTRY,REGION,WEIGHT,EPS,BPS,ROE,TOTAL_SHARES,FREE_SHARES,FREE_CAP,f2,f3
19,603899.SH,603899,1,晨光股份,48.65,轻工制造,上海市,0.09,1.39,7.39,19.66,9.27,9.24,449.44,48.65,-1.4
20,603882.SH,603882,1,金域医学,88.71,医药生物,广州市,0.12,5.25,17.85,33.45,4.67,4.64,411.77,88.71,2.27
21,603833.SH,603833,1,欧派家居,131.9,轻工制造,广州市,0.12,3.27,25.29,13.2,6.09,6.09,803.47,131.9,3.65
22,603806.SH,603806,1,福斯特,56.26,电气设备,杭州市,0.15,1.15,10.04,12.01,13.32,13.32,749.13,56.26,-0.44
23,603799.SH,603799,1,华友钴业,53.93,有色金属,嘉兴市,0.35,1.91,14.52,13.65,15.99,15.8,852.08,53.93,0.99
24,603659.SH,603659,1,璞泰来,51.45,有色金属,上海市,0.18,2.24,9.68,25.93,13.91,13.87,713.84,51.45,1.9
25,603501.SH,603501,1,韦尔股份,103.52,电子设备,上海市,0.36,0.84,15.0,5.79,11.84,11.8,1222.0,103.52,2.39
26,603486.SH,603486,1,科沃斯,82.04,机械设备,苏州市,0.09,1.99,10.16,20.32,5.72,5.65,463.56,82.04,1.79
27,603392.SH,603392,1,万泰生物,119.2,医药生物,北京市,0.11,5.31,13.62,56.35,9.06,2.42,288.41,119.2,1.58
28,603369.SH,603369,1,今世缘,65.15,食品饮料,淮安市,0.21,1.67,8.48,20.88,12.55,12.55,817.31,65.15,-0.26
29,603290.SH,603290,1,斯达半导,297.55,电子设备,嘉兴市,0.1,4.79,33.6,15.23,1.71,1.71,508.19,297.55,0.72
30,603288.SH,603288,1,海天味业,76.65,食品饮料,佛山市,0.54,1.01,5.37,19.34,46.34,46.34,3551.83,76.65,-0.04
31,603260.SH,603260,1,合盛硅业,82.38,有色金属,嘉兴市,0.1,4.24,21.53,21.05,11.82,10.74,884.9,82.38,0.23
32,603259.SH,603259,1,药明康德,83.82,医药生物,无锡市,0.82,3.01,15.74,20.72,29.67,25.59,2145.05,83.82,6.64
33,603195.SH,603195,1,公牛集团,154.83,轻工制造,宁波市,0.06,3.94,19.15,21.21,6.01,5.99,927.61,154.83,-0.08
34,603185.SH,603185,1,上机数控,105.27,机械设备,无锡市,0.11,7.37,26.01,31.19,4.11,4.08,429.56,105.27,-1.09
35,603019.SH,603019,1,中科曙光,40.08,信息技术,天津市,0.24,0.45,10.89,4.58,14.64,14.51,581.45,40.08,-1.47
36,601998.SH,601998,1,中信银行,5.44,金融,北京市,0.08,1.17,11.25,9.62,489.35,340.53,1852.47,5.44,-0.73
37,601995.SH,601995,1,中金公司,41.15,金融,北京市,0.17,1.46,17.15,8.28,48.27,9.3,382.54,41.15,5.73
38,601989.SH,601989,1,中国重工,3.9,国防与装备,北京市,0.23,-0.06,3.69,-1.48,228.02,220.84,861.27,3.9,-0.51
39,601988.SH,601988,1,中国银行,3.43,金融,北京市,0.37,0.73,6.99,9.78,2943.88,2107.66,7229.26,3.43,-0.29
40,601985.SH,601985,1,中国核电,6.56,公用事业,北京市,0.32,0.42,4.34,9.61,188.7,188.7,1237.86,6.56,-0.76
41,601966.SH,601966,1,玲珑轮胎,21.11,基础化工,烟台市,0.06,0.15,12.98,1.22,14.77,14.74,311.06,21.11,4.92
42,601939.SH,601939,1,建设银行,6.06,金融,北京市,0.21,1.28,10.87,11.9,2500.11,95.94,581.38,6.06,0.33
43,601919.SH,601919,1,中远海控,10.82,交通运输,天津市,0.35,6.83,12.45,65.61,160.95,127.41,1378.53,10.82,0.46
44,601901.SH,601901,1,方正证券,7.15,金融,长沙市,0.15,0.26,5.23,5.09,82.32,82.32,588.6,7.15,0.42
45,601899.SH,601899,1,紫金矿业,12.89,有色金属,龙岩市,0.96,0.76,3.38,25.06,263.28,205.25,2645.71,12.89,-1.83
46,601898.SH,601898,1,中煤能源,7.93,化石能源,北京市,0.07,1.38,9.86,14.88,132.59,91.52,725.75,7.93,-0.63
47,601888.SH,601888,1,中国中免,181.82,商贸零售,北京市,0.87,2.53,23.48,12.87,20.69,19.52,3549.99,181.82,2.83
48,601881.SH,601881,1,中国银河,10.39,金融,北京市,0.07,0.7,8.55,7.7,101.37,64.46,669.77,10.39,0.1
49,601878.SH,601878,1,浙商证券,10.43,金融,杭州市,0.1,0.43,6.56,6.62,38.78,38.78,404.49,10.43,0.97
0,601877.SH,601877,1,正泰电器,27.5,电气设备,温州市,0.15,1.51,15.8,9.72,21.5,21.5,591.24,27.5,0.55
1,601868.SH,601868,1,中国能建,2.47,建筑,北京市,0.16,0.18,2.22,7.96,416.91,142.23,351.3,2.47,-0.8
2,601865.SH,601865,1,福莱特,33.29,建材,嘉兴市,0.09,0.99,6.31,16.43,21.47,16.94,563.79,33.29,0.15
3,601857.SH,601857,1,中国石油,6.15,化石能源,北京市,0.3,0.82,7.48,11.34,1830.21,1619.22,9958.21,6.15,-0.49
4,601838.SH,601838,1,成都银行,13.63,金融,成都市,0.15,1.87,14.06,12.3,37.36,37.28,508.07,13.63,-0.07
5,601818.SH,601818,1,光大银行,3.04,金融,北京市,0.36,0.74,7.46,9.05,590.86,464.07,1410.77,3.04,0.0
6,601816.SH,601816,1,京沪高铁,5.23,交通运输,北京市,0.65,0.0,3.76,0.08,491.06,491.06,2568.27,5.23,-0.57
7,601808.SH,601808,1,中海油服,14.91,化石能源,天津市,0.04,0.49,8.24,6.08,47.72,29.6,441.41,14.91,-0.2
8,601800.SH,601800,1,中国交建,11.25,建筑,北京市,0.21,1.09,15.09,7.04,161.66,117.47,1321.56,11.25,-2.93
9,601799.SH,601799,1,星宇股份,119.52,交运设备,常州市,0.08,3.3,29.83,11.49,2.86,2.86,341.44,119.52,1.75
10,601788.SH,601788,1,光大证券,15.68,金融,上海市,0.15,0.61,11.82,5.23,46.11,39.07,612.57,15.68,0.64
11,601766.SH,601766,1,中国中车,6.6,交运设备,北京市,0.41,0.41,5.4,7.68,286.99,243.28,1605.63,6.6,-0.75
12,601728.SH,601728,1,中国电信,6.98,信息技术,北京市,0.54,0.3,4.72,6.41,915.07,195.9,1367.41,6.98,0.87
13,601698.SH,601698,1,中国卫通,21.55,信息技术,北京市,0.05,0.13,3.52,3.91,42.24,40.0,862.0,21.55,-0.69
14,601689.SH,601689,1,拓普集团,59.01,交运设备,宁波市,0.13,1.1,10.43,10.79,11.02,11.02,650.32,59.01,2.04
15,601688.SH,601688,1,华泰证券,13.87,金融,南京市,0.36,1.18,18.37,7.05,90.76,73.12,1014.19,13.87,0.51
16,601669.SH,601669,1,中国电建,7.28,建筑,北京市,0.26,0.56,6.67,6.42,172.26,109.91,800.17,7.28,-0.55
17,601668.SH,601668,1,中国建筑,6.12,建筑,北京市,0.65,1.05,8.62,12.16,419.34,413.2,2528.81,6.12,0.16
18,601658.SH,601658,1,邮储银行,4.69,金融,北京市,0.26,0.85,7.41,10.53,991.61,112.74,528.77,4.69,-0.21
19,601633.SH,601633,1,长城汽车,27.27,交运设备,保定市,0.17,0.91,7.4,12.98,84.87,61.33,1672.33,27.27,1.72
20,601628.SH,601628,1,中国人寿,33.59,金融,北京市,0.28,1.14,15.43,7.01,282.65,208.24,6994.62,33.59,0.93
21,601618.SH,601618,1,中国中冶,4.03,建筑,北京市,0.15,0.45,4.47,8.99,207.24,178.53,719.46,4.03,-1.47
22,601615.SH,601615,1,明阳智能,22.32,电气设备,中山市,0.18,1.59,12.41,15.29,22.72,21.09,470.73,22.32,0.77
23,601601.SH,601601,1,中国太保,26.72,金融,上海市,0.45,2.56,23.75,10.81,96.2,68.45,1829.0,26.72,2.02
24,601600.SH,601600,1,中国铝业,5.72,有色金属,北京市,0.23,0.24,3.05,7.3,171.62,130.79,748.1,5.72,0.35
25,601398.SH,601398,1,工商银行,4.53,金融,北京市,0.8,0.97,8.81,10.68,3564.06,2696.12,12213.43,4.53,0.0
26,601390.SH,601390,1,中国中铁,7.7,建筑,北京市,0.41,1.2,10.33,10.85,247.52,203.64,1567.99,7.7,-2.16
27,601377.SH,601377,1,兴业证券,6.51,金融,福州市,0.22,0.26,6.17,3.77,86.36,86.36,562.2,6.51,2.52
28,601360.SH,601360,1,三六零,18.6,信息技术,天津市,0.27,-0.28,4.36,-5.94,71.45,71.45,1329.04,18.6,-1.95
29,601336.SH,601336,1,新华保险,31.47,金融,北京市,0.13,3.15,32.98,9.29,31.2,20.85,656.29,31.47,-0.38
30,601328.SH,601328,1,交通银行,5.18,金融,上海市,0.72,1.14,11.43,9.27,742.63,392.51,2033.19,5.18,-0.38
31,601319.SH,601319,1,中国人保,5.18,金融,北京市,0.08,0.55,5.01,11.08,442.24,354.98,1838.78,5.18,0.0
32,601318.SH,601318,1,中国平安,45.63,金融,深圳市,2.47,4.8,46.97,10.03,182.8,108.33,4942.94,45.63,1.22
33,601288.SH,601288,1,农业银行,3.17,金融,北京市,0.51,0.69,6.37,10.2,3499.83,2992.85,9487.32,3.17,-0.31
34,601238.SH,601238,1,广汽集团,11.06,交运设备,广州市,0.12,0.78,10.8,7.93,104.83,73.28,810.47,11.06,0.64
35,601236.SH,601236,1,红塔证券,8.83,金融,昆明市,0.04,0.01,4.85,0.17,47.17,47.17,416.49,8.83,0.34
36,601229.SH,601229,1,上海银行,6.03,金融,上海市,0.3,1.21,13.84,8.14,142.07,138.48,835.01,6.03,0.0
37,601225.SH,601225,1,陕西煤业,19.83,化石能源,西安市,0.39,2.92,10.46,30.3,96.95,96.95,1922.52,19.83,-0.9
38,601216.SH,601216,1,君正集团,4.39,基础化工,乌海市,0.07,0.32,2.88,11.62,84.38,84.38,370.43,4.39,0.46
39,601211.SH,601211,1,国泰君安,14.98,金融,上海市,0.34,1.24,15.9,7.55,89.07,74.53,1116.39,14.98,0.33
40,601186.SH,601186,1,中国铁建,9.8,建筑,北京市,0.23,1.76,16.98,9.53,135.8,115.03,1127.32,9.8,-2.39
41,601169.SH,601169,1,北京银行,4.44,金融,北京市,0.33,1.02,10.91,8.21,211.43,211.43,938.75,4.44,0.0
42,601166.SH,601166,1,兴业银行,16.97,金融,福州市,1.25,4.2,31.79,12.78,207.74,207.74,3525.39,16.97,0.3
43,601155.SH,601155,1,新城控股,17.34,房地产,常州市,0.07,0.62,26.37,2.35,22.56,22.56,391.13,17.34,7.5
44,601138.SH,601138,1,工业富联,18.37,信息技术,深圳市,0.38,1.02,6.49,16.18,198.63,197.99,3637.04,18.37,-3.32
45,601117.SH,601117,1,中国化学,9.66,建筑,北京市,0.18,0.89,8.66,10.71,61.09,60.5,584.38,9.66,-2.13
46,601111.SH,601111,1,中国国航,11.25,交通运输,北京市,0.2,-2.81,1.63,-90.86,162.01,99.62,1120.74,11.25,1.53
47,601100.SH,601100,1,恒立液压,66.68,机械设备,常州市,0.17,1.34,7.7,18.18,13.41,13.05,870.41,66.68,1.41
48,601088.SH,601088,1,中国神华,27.74,化石能源,北京市,0.47,3.5,19.82,18.07,198.69,164.91,4574.61,27.74,-0.64
49,601066.SH,601066,1,中信建投,26.8,金融,北京市,0.17,0.86,8.81,8.68,77.57,38.11,1021.45,26.8,1.4
0,601021.SH,601021,1,春秋航空,64.77,交通运输,上海市,0.13,-1.9,12.98,-13.55,9.79,9.16,593.59,64.77,1.16
1,601012.SH,601012,1,隆基绿能,40.47,电气设备,西安市,1.24,1.45,7.61,20.76,75.82,75.78,3066.83,40.47,0.45
2,601009.SH,601009,1,南京银行,9.06,金融,南京市,0.24,1.45,12.02,11.74,103.44,88.19,798.99,9.06,-0.11
3,601006.SH,601006,1,大秦铁路,7.17,交通运输,大同市,0.22,0.73,8.4,8.56,148.67,148.67,1065.96,7.17,-1.24
4,600999.SH,600999,1,招商证券,14.2,金融,深圳市,0.27,0.86,11.52,7.09,86.97,74.22,1053.92,14.2,0.28
5,600989.SH,600989,1,宝丰能源,14.48,化石能源,银川市,0.16,0.86,4.62,19.52,73.33,73.33,1061.87,14.48,-1.36
6,600958.SH,600958,1,东方证券,10.81,金融,上海市,0.28,0.35,8.52,4.25,84.97,74.69,807.45,10.81,3.64
7,600941.SH,600941,1,中国移动,96.52,信息技术,,0.27,5.88,59.08,10.31,213.67,7.59,732.22,96.52,-0.69
8,600926.SH,600926,1,杭州银行,11.71,金融,杭州市,0.17,1.52,13.53,9.91,59.3,50.67,593.33,11.71,0.43
9,600919.SH,600919,1,江苏银行,7.04,金融,南京市,0.42,1.34,11.26,10.28,147.7,146.88,1034.04,7.04,0.0
10,600918.SH,600918,1,中泰证券,6.84,金融,济南市,0.1,0.08,5.05,1.6,69.69,26.09,178.46,6.84,0.29
11,600905.SH,600905,1,三峡能源,5.48,公用事业,北京市,0.24,0.22,2.65,8.53,286.25,135.73,743.8,5.48,0.18
12,600900.SH,600900,1,长江电力,21.08,公用事业,北京市,1.22,0.83,8.04,10.41,236.64,227.42,4793.98,21.08,-0.57
13,600893.SH,600893,1,航发动力,43.69,国防与装备,西安市,0.29,0.48,14.41,3.34,26.66,24.7,1079.13,43.69,-0.11
14,600887.SH,600887,1,伊利股份,29.14,食品饮料,呼和浩特市,0.94,1.26,7.5,16.84,63.99,63.08,1838.15,29.14,0.76
15,600886.SH,600886,1,国投电力,10.81,公用事业,北京市,0.16,0.53,6.53,7.8,74.54,69.66,753.01,10.81,-0.37
16,600884.SH,600884,1,杉杉股份,17.04,有色金属,宁波市,0.1,1.02,10.24,10.55,22.64,17.57,299.43,17.04,-0.87
17,600845.SH,600845,1,宝信软件,60.57,信息技术,上海市,0.17,1.12,5.03,23.06,20.02,14.37,870.67,60.57,4.02
18,600837.SH,600837,1,海通证券,9.07,金融,上海市,0.44,0.5,12.6,3.99,130.64,88.73,804.82,9.07,0.55
19,600809.SH,600809,1,山西汾酒,252.39,食品饮料,吕梁市,0.64,5.83,16.56,40.13,12.2,12.18,3073.39,252.39,-1.89
20,600803.SH,600803,1,新奥股份,20.13,公用事业,石家庄市,0.09,1.9,5.67,34.08,30.98,14.61,294.16,20.13,0.65
21,600795.SH,600795,1,国电电力,3.75,公用事业,大连市,0.17,0.28,2.62,10.74,178.36,178.36,668.84,3.75,1.63
22,600763.SH,600763,1,通策医疗,127.96,医药生物,杭州市,0.14,1.61,10.3,16.67,3.21,3.21,410.29,127.96,1.81
23,600760.SH,600760,1,中航沈飞,54.38,国防与装备,威海市,0.22,0.89,6.28,14.66,19.61,19.61,1066.13,54.38,0.33
24,600745.SH,600745,1,闻泰科技,58.99,电子设备,黄石市,0.22,1.57,27.42,5.6,12.43,12.43,733.13,58.99,-0.35
25,600741.SH,600741,1,华域汽车,16.82,交运设备,上海市,0.13,1.55,16.02,9.75,31.53,31.53,530.29,16.82,0.96
26,600690.SH,600690,1,海尔智家,22.49,家电,青岛市,0.43,1.58,9.89,16.97,94.47,63.09,1418.79,22.49,0.9
27,600674.SH,600674,1,川投能源,13.36,公用事业,成都市,0.12,0.66,7.17,9.16,44.61,44.61,595.94,13.36,0.07
28,600660.SH,600660,1,福耀玻璃,34.28,交运设备,福州市,0.28,1.82,11.11,17.2,26.1,20.03,686.62,34.28,0.32
29,600606.SH,600606,1,绿地控股,2.97,房地产,上海市,0.06,0.49,6.8,7.49,140.54,140.54,417.41,2.97,2.77
30,600600.SH,600600,1,青岛啤酒,122.1,食品饮料,青岛市,0.22,2.74,18.69,15.3,13.64,7.0,855.03,122.1,0.04
31,600588.SH,600588,1,用友网络,26.19,信息技术,北京市,0.27,0.06,3.34,2.38,34.33,34.17,894.88,26.19,1.91
32,600585.SH,600585,1,海螺水泥,28.59,建材,芜湖市,0.34,2.96,34.65,8.53,52.99,40.0,1143.51,28.59,0.67
33,600584.SH,600584,1,长电科技,37.67,电子设备,无锡市,0.27,1.82,13.85,14.16,17.8,17.8,670.36,37.67,1.18
34,600570.SH,600570,1,恒生电子,53.2,信息技术,杭州市,0.41,0.57,3.59,17.45,19.0,19.0,1010.8,53.2,0.74
35,600547.SH,600547,1,山东黄金,24.97,有色金属,济南市,0.23,0.2,5.13,4.01,44.73,36.14,902.53,24.97,0.48
36,600519.SH,600519,1,贵州茅台,1790.99,食品饮料,遵义市,5.71,49.93,157.23,32.41,12.56,12.56,22498.38,1790.99,-0.33
37,600460.SH,600460,1,士兰微,41.36,电子设备,杭州市,0.18,0.74,5.21,15.27,14.16,14.16,585.69,41.36,0.41
38,600438.SH,600438,1,通威股份,38.91,电气设备,成都市,0.53,4.83,12.16,46.12,45.02,45.02,1751.71,38.91,0.28
39,600436.SH,600436,1,片仔癀,291.49,医药生物,漳州市,0.44,3.4,18.06,19.92,6.03,6.03,1758.61,291.49,0.03
40,600426.SH,600426,1,华鲁恒升,35.12,基础化工,德州市,0.26,2.97,12.68,25.58,21.23,21.12,741.69,35.12,0.14
41,600406.SH,600406,1,国电南瑞,27.17,电气设备,南京市,0.45,0.55,5.92,9.42,66.95,66.41,1804.3,27.17,1.91
42,600383.SH,600383,1,金地集团,9.01,房地产,深圳市,0.14,0.74,14.15,5.26,45.15,45.15,406.76,9.01,5.88
43,600362.SH,600362,1,江西铜业,19.79,有色金属,鹰潭市,0.1,1.73,21.23,8.36,34.63,20.75,410.69,19.79,-0.5
44,600346.SH,600346,1,恒力石化,16.18,化石能源,大连市,0.17,0.86,8.09,10.66,70.39,70.39,1138.93,16.18,1.83
45,600332.SH,600332,1,白云山,33.56,医药生物,广州市,0.12,2.44,19.72,12.98,16.26,14.06,471.82,33.56,-0.74
46,600309.SH,600309,1,万华化学,94.96,基础化工,烟台市,0.9,5.17,24.47,22.34,31.4,31.4,2981.5,94.96,1.01
47,600276.SH,600276,1,恒瑞医药,45.15,医药生物,连云港市,0.97,0.5,5.76,8.84,63.79,63.79,2880.12,45.15,5.54
48,600233.SH,600233,1,圆通速递,18.95,交通运输,大连市,0.16,0.81,7.41,11.52,34.42,34.42,652.2,18.95,2.54
49,600219.SH,600219,1,南山铝业,3.4,有色金属,烟台市,0.12,0.24,3.77,6.48,117.09,117.09,398.09,3.4,0.89
0,600196.SH,600196,1,复星医药,34.04,医药生物,上海市,0.22,1.43,16.68,8.91,26.72,21.18,720.87,34.04,1.61
1,600188.SH,600188,1,兖矿能源,34.09,化石能源,济宁市,0.16,6.3,16.47,37.78,49.49,29.87,1018.26,34.09,-0.5
2,600183.SH,600183,1,生益科技,19.63,电子设备,东莞市,0.12,0.66,5.8,11.51,23.38,23.38,458.96,19.63,-1.01
3,600176.SH,600176,1,中国巨石,15.22,基础化工,嘉兴市,0.18,1.65,6.89,26.35,40.03,40.03,609.28,15.22,0.59
4,600150.SH,600150,1,中国船舶,23.41,国防与装备,上海市,0.21,0.33,10.59,3.13,44.72,44.72,1047.0,23.41,0.04
5,600132.SH,600132,1,重庆啤酒,125.25,食品饮料,重庆市,0.15,2.44,4.07,63.48,4.84,4.84,606.17,125.25,-0.56
6,600115.SH,600115,1,中国东航,5.47,交通运输,上海市,0.14,-1.98,1.3,-92.94,222.91,112.03,612.79,5.47,0.18
7,600111.SH,600111,1,北方稀土,26.79,有色金属,包头市,0.3,1.28,5.08,27.4,36.15,36.15,968.48,26.79,-0.78
8,600104.SH,600104,1,上汽集团,14.32,交运设备,上海市,0.34,1.1,23.35,4.63,116.83,116.83,1673.07,14.32,0.07
9,600089.SH,600089,1,特变电工,21.39,电气设备,昌吉回族自治州,0.42,2.87,12.89,22.68,38.89,38.89,831.75,21.39,-0.74
10,600085.SH,600085,1,同仁堂,54.96,医药生物,北京市,0.2,1.04,8.61,12.71,13.71,13.71,753.76,54.96,-2.43
11,600061.SH,600061,1,国投资本,7.2,金融,上海市,0.09,0.44,7.48,5.85,64.25,64.25,462.62,7.2,-0.55
12,600050.SH,600050,1,中国联通,5.56,信息技术,北京市,0.54,0.23,4.85,4.81,318.04,309.62,1721.51,5.56,-0.18
13,600048.SH,600048,1,保利发展,15.11,房地产,广州市,0.53,1.53,15.64,9.36,119.7,119.7,1808.73,15.11,3.42
14,600039.SH,600039,1,四川路桥,14.17,建筑,成都市,0.13,1.81,6.71,31.08,62.25,47.42,671.99,14.17,-0.35
15,600036.SH,600036,1,招商银行,34.14,金融,深圳市,2.12,5.26,32.71,15.3,252.2,206.29,7042.72,34.14,1.01
16,600031.SH,600031,1,三一重工,17.4,机械设备,北京市,0.53,0.51,7.65,6.64,84.87,84.64,1472.77,17.4,-1.19
17,600030.SH,600030,1,中信证券,21.17,金融,深圳市,1.03,1.42,16.15,9.22,148.21,113.67,2406.33,21.17,1.34
18,600029.SH,600029,1,南方航空,8.21,交通运输,广州市,0.22,-1.9,2.27,-60.15,181.21,102.2,839.05,8.21,0.86
19,600028.SH,600028,1,中国石化,5.71,化石能源,北京市,0.39,0.55,6.55,8.5,1198.96,951.15,5431.09,5.71,-1.72
20,600025.SH,600025,1,华能水电,6.86,公用事业,昆明市,0.06,0.33,3.0,9.08,180.0,180.0,1234.8,6.86,-0.72
21,600019.SH,600019,1,宝钢股份,6.53,钢铁,上海市,0.29,0.42,8.79,4.9,222.62,218.94,1429.67,6.53,0.62
22,600018.SH,600018,1,上港集团,5.49,交通运输,上海市,0.08,0.74,4.82,16.24,232.84,231.74,1272.23,5.49,-0.9
23,600016.SH,600016,1,民生银行,3.46,金融,北京市,0.43,0.71,11.53,6.01,437.82,354.62,1226.99,3.46,0.0
24,600015.SH,600015,1,华夏银行,5.38,金融,北京市,0.17,0.92,16.03,5.65,159.15,128.23,689.86,5.38,-0.19
25,600011.SH,600011,1,华能国际,8.52,公用事业,北京市,0.18,-0.61,2.96,-6.9,156.98,109.98,937.0,8.52,2.9
26,600010.SH,600010,1,包钢股份,1.89,钢铁,包头市,0.22,-0.02,1.18,-1.37,455.85,316.77,598.7,1.89,0.0
27,600009.SH,600009,1,上海机场,57.06,交通运输,上海市,0.29,-1.26,15.92,-7.9,24.88,19.27,1099.52,57.06,0.11
28,600000.SH,600000,1,浦发银行,7.23,金融,上海市,0.43,1.31,19.83,5.94,293.52,293.52,2122.16,7.23,0.7
29,300999.SZ,300999,1,金龙鱼,43.05,农林牧渔,上海市,0.13,0.56,16.36,3.43,54.22,5.43,233.61,43.05,0.44
30,300979.SZ,300979,1,华利集团,50.91,纺织服装,中山市,0.04,2.1,10.91,20.67,11.67,1.46,74.37,50.91,3.52
31,300957.SZ,300957,1,贝泰妮,126.8,基础化工,昆明市,0.08,2.48,13.11,20.4,4.24,2.17,275.66,126.8,1.38
32,300919.SZ,300919,1,中伟股份,66.63,电子设备,铜仁市,0.07,1.78,18.11,10.39,6.71,2.29,152.3,66.63,0.88
33,300896.SZ,300896,1,爱美客,559.77,医药生物,北京市,0.31,5.84,27.02,23.24,2.16,0.88,491.74,559.77,0.03
34,300782.SZ,300782,1,卓胜微,135.0,电子设备,无锡市,0.22,1.85,16.17,12.11,5.34,4.22,570.07,135.0,-0.73
35,300769.SZ,300769,1,德方纳米,178.0,有色金属,深圳市,0.11,14.25,50.72,40.0,1.74,1.55,275.4,178.0,-0.08
36,300763.SZ,300763,1,锦浪科技,127.58,电气设备,宁波市,0.13,1.91,10.31,22.95,3.97,3.0,382.75,127.58,-2.0
37,300760.SZ,300760,1,迈瑞医疗,309.0,医药生物,深圳市,0.74,6.7,24.91,28.35,12.12,12.12,3746.44,309.0,1.96
38,300759.SZ,300759,1,康龙化成,52.45,医药生物,北京市,0.13,1.16,8.69,13.3,11.91,9.46,496.01,52.45,4.63
39,300751.SZ,300751,1,迈为股份,296.56,电气设备,苏州市,0.13,3.98,36.24,11.32,1.74,1.2,354.4,296.56,-1.15
40,300750.SZ,300750,1,宁德时代,390.51,电气设备,宁德市,2.88,12.92,67.34,24.68,24.43,21.57,8424.05,390.51,0.64
41,300661.SZ,300661,1,圣邦股份,166.49,电子设备,北京市,0.21,2.11,9.15,26.46,3.57,3.38,562.27,166.49,0.89
42,300628.SZ,300628,1,亿联网络,72.32,信息技术,厦门市,0.13,1.98,8.21,25.93,9.02,5.15,372.79,72.32,2.55
43,300601.SZ,300601,1,康泰生物,33.76,医药生物,深圳市,0.11,0.24,7.85,2.2,11.17,8.81,297.55,33.76,5.9
44,300595.SZ,300595,1,欧普康视,34.09,医药生物,合肥市,0.08,0.72,4.73,19.35,8.95,6.68,227.8,34.09,2.74
45,300529.SZ,300529,1,健帆生物,32.18,医药生物,珠海市,0.08,1.12,4.28,25.66,8.08,5.15,165.7,32.18,2.32
46,300498.SZ,300498,1,温氏股份,21.4,农林牧渔,云浮市,0.58,0.11,5.38,2.0,65.54,53.5,1144.82,21.4,-2.19
47,300496.SZ,300496,1,中科创达,119.54,信息技术,北京市,0.19,1.77,19.82,10.79,4.57,3.65,435.98,119.54,2.7
48,300454.SZ,300454,1,深信服,159.2,信息技术,深圳市,0.21,-1.69,16.09,-9.96,4.17,2.73,434.87,159.2,-4.08
49,300450.SZ,300450,1,先导智能,38.81,机械设备,无锡市,0.21,1.06,6.65,16.75,15.66,14.54,564.37,38.81,0.39
